0.034	0.278612	129.285	0.02715	4.71261e-10	30000.1	2.36959e-34	1e-06	2.08892	0	280.069	179.49	0.0020896	1.42176e-27	6.75116e-07
0.035	0.27899	129.285	0.02715	4.719e-10	30000.2	2.37096e-34	1e-06	2.09173	0	280.071	179.475	0.00209244	1.42258e-27	6.95458e-07
0.036	0.279369	129.285	0.0271501	4.7254e-10	30000.2	2.37233e-34	1e-06	2.09455	0	280.074	179.46	0.00209528	1.4234e-27	7.15829e-07
0.037	0.279747	129.286	0.0271501	4.7318e-10	30000.2	2.3737e-34	1e-06	2.09737	0	280.076	179.445	0.00209811	1.42422e-27	7.36227e-07
0.038	0.280125	129.286	0.0271502	4.73819e-10	30000.2	2.37508e-34	1e-06	2.10018	0	280.078	179.43	0.00210095	1.42505e-27	7.56653e-07
0.039	0.280504	129.286	0.0271503	4.74459e-10	30000.2	2.37646e-34	1e-06	2.103	0	280.08	179.415	0.00210379	1.42587e-27	7.77107e-07
0.04	0.280882	129.287	0.0271503	4.751e-10	30000.2	2.37784e-34	1e-06	2.10582	0	280.082	179.4	0.00210663	1.4267e-27	7.97589e-07
0.041	0.281261	129.287	0.0271504	4.7574e-10	30000.2	2.37922e-34	1e-06	2.10864	0	280.084	179.385	0.00210947	1.42753e-27	8.18099e-07
0.042	0.281639	129.287	0.0271505	4.7638e-10	30000.2	2.38061e-34	1e-06	2.11146	0	280.086	179.37	0.00211231	1.42836e-27	8.38637e-07
0.043	0.282018	129.287	0.0271505	4.77021e-10	30000.2	2.382e-34	1e-06	2.11428	0	280.088	179.355	0.00211515	1.4292e-27	8.59202e-07
0.044	0.282397	129.288	0.0271506	4.77661e-10	30000.2	2.38339e-34	1e-06	2.1171	0	280.09	179.34	0.00211799	1.43003e-27	8.79796e-07
0.045	0.282776	129.288	0.0271507	4.78302e-10	30000.2	2.38478e-34	1e-06	2.11992	0	280.092	179.325	0.00212083	1.43087e-27	9.00417e-07
0.046	0.283155	129.288	0.0271507	4.78943e-10	30000.2	2.38618e-34	1e-06	2.12274	0	280.095	179.31	0.00212368	1.43171e-27	9.21067e-07
0.047	0.283534	129.289	0.0271508	4.79584e-10	30000.2	2.38758e-34	1e-06	2.12557	0	280.097	179.295	0.00212652	1.43255e-27	9.41744e-07
0.048	0.283913	129.289	0.0271508	4.80225e-10	30000.2	2.38898e-34	1e-06	2.12839	0	280.099	179.28	0.00212936	1.43339e-27	9.6245e-07
