A020A;Lannach;46.9484;15.2994;390.0;;Open
A021A;Deutsch Goritz;46.7566;15.8253;265.0;;Open
A022A;Hirschenstein, Niederoesterreich;48.6348;14.7326;777.0;;Open
A023A;Baumgartsaur, Oberoesterreich;48.4608;14.0707;587.0;;Open
A024B;Sipbachzell;48.1002;14.1399;381.0;;Open
A025A;Baerendorf, Steiermark;47.5207;14.4165;794.0;;Open
A026A;Unterfahrungsstollen, Kaernten;46.9332;14.5516;800.0;;Open
A027A;Holzern, Kaernten;46.8159;14.0074;1217.0;;Open
A028A;Falkendorf, Steiermark;47.1029;13.9958;1105.0;;Open
A029A;Rabinger, Steiermark;47.4301;13.7611;992.0;;Open
A031A;Wolfsedt, Oberoesterreich, Austria;48.4272;13.4975;366.0;;Open
A034A;Stadlberg, Tirol;46.9091;13.0787;1050.0;;Open
A04;A04;52.188;8.081;140.0;;
A04D;Lummi Island;48.72011;-122.70631;13.0;;
A05;A05;51.949;8.684;250.0;;
A050A;Klekovaca;44.4818;16.5313;934.0;;
A051A;Mrakovica;45.0125;16.9069;862.0;;
A052A;Srbac;45.1026;17.5139;139.0;;
A06;A06;51.683;7.441;65.0;;
A07;A07;51.696;8.01;85.0;;
A08;A08;51.679;8.962;340.0;;
A09;A09;51.492;8.064;235.0;;
-A0MA;Subarray A0 LASA;46.68861;-106.22222;897.0;;
A10;Crater;10.4611;-84.7156;830.0;;
A10E;A10E;51.494;8.453;360.0;;
A11;Saint Roch-des-Aulnaies;47.2425;-70.19778;61.0;;Open
A11E;A11E;51.3;7.414;270.0;;
A12;A12;51.245;7.199;325.0;;
A13;A13;51.131;7.135;165.0;;
A14;A14;50.947;7.421;350.0;;
A15;A15;50.75;7.449;155.0;;
A16;Riviere Ouelle;47.4706;-70.0064;15.0;;Open
A16E;A16E;50.846;6.892;100.0;;
A17;A17;50.768;6.723;130.0;;
A18;A18;50.564;8.086;370.0;;
A19;A19;50.605;7.81;415.0;;
A19K;Wainwright;70.2043;-161.0713;24.0;;Open
A20;A20;50.702;8.226;380.0;;
A21;Saint Andre;47.70361;-69.68972;46.0;;Open
A21E;A21E;50.775;8.04;330.0;;
A21K;Barrow;71.3221;-156.6175;0.5;;Open
A22K;Sinclair Lake;71.0033;-154.9742;6.0;;Open
A250A;Rusevo Krmpotsko;45.084;14.9106;686.0;;Open
A251A;Rujevac;45.1286;16.2664;252.0;;Open
A252A;Venje;45.4356;17.8482;412.0;;Open
A253A;Karojba, Istria;45.2926;13.8167;408.0;;Open
A254A;Petrova Gora;45.3148;15.805;543.0;;Open
A255A;Hotnja, Vukomericke Gorice;45.509;16.0507;224.0;;Open
A260A;Vassurany;47.2834;16.7056;243.0;;Open
A261A;Ohid;46.952;17.1486;171.0;;Open
A262A;Szaknyer;46.8642;16.5276;240.0;;Open
A263A;Hollad;46.6408;17.3149;165.0;;Open
A264A;Tarany;46.1597;17.2897;143.0;;Open
A265A;Kaposfured;46.4245;17.7954;151.0;;Open
A266A;Gyulaj;46.5256;18.2647;219.0;;Open
A267A;Kaloz;46.9463;18.482;116.0;;Open
A268A;Rede;47.4313;17.9238;201.0;;Open
A269A;Baj;47.6386;18.3824;195.0;;Open
A270A;Szokolya;47.8452;19.0186;152.0;;Open
A300A;Muzzana del Turgnano (UD);45.8193;13.128;6.0;0;Open
A301A;Isiata (VE);45.6198;12.621;2.0;0;Open
A302A;Resana (TV);45.6335;11.9713;26.0;0;Open
A303A;Lido-Pellestrina (VE);45.3443;12.3182;11.0;0;Open
A304A;Bellombra (RO);45.0167;12.0335;1.0;1;Open
A305A;Porto Tolle (RO);44.9592;12.4323;-3.0;1;Open
A306A;Viano (RE);44.5359;10.5961;463.0;1;Open
A307A;Bentivoglio (BO);44.6608;11.4363;9.0;1;Open
A308A;Longastrino (FE);44.5825;12.0057;-2.0;1;Open
A309A;Martorano (FC);44.1704;12.2445;32.0;1;Open
A312A;Bozzolo (MN);45.1074;10.4817;30.0;1;Open
A313A;Volta Mantovana (MN);45.3135;10.6628;64.0;1;Open
A316A;Montecristo (LI);42.3337;10.2957;38.0;0;Open
A317A;Capraia (LI);43.05;9.8424;35.0;0;Open
A318A;Donoratico (LI);43.121;10.5732;173.0;1;Open
A319A;Santa Luce (PI);43.4764;10.5787;343.0;1;Open
A33;A33;51.951;7.407;165.0;;
A331A;Zubak;49.1501;18.2209;427.0;;Open
A332A;Rudnianska;48.8045;18.4645;359.0;;Open
A333A;Gbely;48.7156;17.1041;177.0;;Open
A334A;Sterusy;48.6044;17.6747;224.0;;Open
A335A;Lovce;48.4469;18.3359;320.0;;Open
A336A;Medovarce;48.2333;18.999;183.0;;Open
A337A;Vahovce;48.2443;17.7898;117.0;;Open
A338A;Semerovo;48.0152;18.3525;154.0;;Open
A339A;Balon;47.8294;17.6559;110.0;;Open
A36M;Sachs Harbour;71.9871;-125.2472;32.0;;Open
A490;San Lazaro;10.2723;-85.4582;0.0;;Open
A492;Arado;10.2138;-85.5963;0.0;;Open
A494;Palo Verde;10.3465;-85.3503;0.0;;Open
A495;El Viejo;10.3925;-85.456;0.0;;Open
A50;A50;51.218;7.993;540.0;;
A51;A51;51.113;7.889;300.0;;
A52;A52;50.977;7.755;510.0;;
A53;A53;50.874;7.638;390.0;;
A54;Misere;47.4567;-70.4125;381.0;;Open
A54E;A54E;50.724;7.555;320.0;;
A61;Sainte Mathilde;47.6931;-70.09;358.0;;Open
A64;Saint Simeon;47.8264;-69.8922;137.0;;Open
A70;A70;50.839;6.885;115.0;;
A71;A71;51.036;6.432;-300.0;;
A72;A72;51.005;6.82;-300.0;;
A80;A80;50.741;8.639;230.0;;
A82;A82;51.051;9.176;225.0;;
A83;A83;51.426;9.684;200.0;;
A84;A84;51.546;9.966;270.0;;
A85;A85;50.916;8.943;220.0;;
AA02;Valdichiascio;43.2655;12.5751;650.0;;Open
AA1;Alma-Ata;43.2717;76.9467;800.0;AAA;
AAA;Alma-Ata;43.209;76.915;920.0;;Open
AAC;Aachen;50.7833;6.08333;179.0;;
AADN;Adndan;22.1224;31.5307;260.0;;
AAE;Adis Abeba;9.02917;38.76556;2442.0;;Open
AAGR;Agrelo;-33.08519;-68.82842;1159.0;;
AAHD;Abu Hadid;23.7474;32.7511;240.0;;
AAI;Ambon;-3.687;128.1945;80.0;;Open
AAIG;Aguscalientes;21.9685;-102.3802;1944.0;;Open
AA-IS;Atka;52.21167;-174.20361;6.0;;
AAK;Ala-Archa;42.6375;74.4942;1633.0;;Open
AAL;Aland;60.178;19.9936;10.0;0;Open
AALE;DHOFAR2 - YR, ALE;9.4214;42.0347;2026.0;;
AALM;Campus Universitario de Almeria;36.83;-2.40167;10.0;;
AAM;Ann Arbor;42.3012;-83.6567;172.0;;Open
AAM1;Ambato 1 (Municipio);-1.2419;-78.6297;2836.0;;Open
AAM2;Ambato 2 (Mercado AmÃ©rica);-1.2691;-78.6109;2664.0;;Open
AAMC;University of Michigan;42.278;-83.736;250.0;;
AANG;AcelerÃ³grafo del Angel;0.6208;-77.9397;3011.0;;
AANI;Anillaco;-28.8123;-66.9375;1400.0;;
AANS;Anshas;30.2909;31.3998;30.0;;
AAP;Anini-y;10.42;121.944;50.0;;
AAPN;Arroyo Pinares;37.3077;-4.121;1160.0;;
AAR;Sfinta Ana;46.1333;25.895;1101.0;;
AARM;Airport Road;39.2762;-121.025;930.0;;Open
AARS;Acelerografo, Pichincha - Arasha;0.0958;-79.0987;525.0;1;Open
AASA;Agas;-24.7977;-65.4038;1180.0;;Open
AASHO;DHOFAR2 - YR, ASHO;17.2499;54.266;925.0;;
AASM;Arroyo Seco;38.43;-121.109;65.0;;
AAT1;Ecuador-Atuntaqui-Hospital;0.3304;-78.2146;2418.0;0;Open
AAUS;AfricaArray - AF;9.0349;38.7665;2437.8;;
AB-;Amboy;39.33056;-79.56694;914.0;AB-WV;
AB01;Akbulak array site;49.2556;59.9431;243.0;;Open
AB02;Akbulak array site;49.2591;59.9466;241.0;;Open
AB03;Akbulak array site;49.2511;59.9431;243.0;;Open
AB04;Akbulak array site;49.2578;59.9371;249.0;;Open
AB05;Akbulak array site;49.2736;59.9431;244.0;;Open
AB06;Akbulak array site;49.2611;59.9693;237.0;;Open
AB07;Akbulak array site;49.241;59.9593;235.0;;Open
AB08;Akbulak array site;49.23869;59.928;243.0;;Open
AB09;Akbulak array site;49.2614;59.9181;238.0;;Open
AB31;Akbulak array site;49.2556;59.9431;243.0;;Open
ABA;Alger-Bouzareah;36.80167;3.035;345.0;;Open
ABA1;Baconsthorpe;52.8884;1.1453;74.0;;Open
ABAB;Ecuador-Universidad Tecnica de Babahoyo;-1.8005;-79.5123;13.0;0;Open
ABAE;Abala;13.3535;39.7635;1447.0;;
ABAH;Abaujker;48.2961;21.2397;198.0;;Open
ABAKI;Abakiliki;6.3909;8.0246;82.0;;
ABANO;DHOFAR2 - YR, BANO;17.6888;54.4384;455.0;;
ABAR;Abu 'Arish;16.942;42.939;135.0;;Open
ABAY;DHOFAR2 - YR;12.6045;54.3228;63.0;;
ABAZ;Army Bay;-36.60022;174.83234;74.0;0;Open
ABD;La Joyeuse, Anse Bertrand;16.4743;-61.4881;12.0;2;Open
ABE;Aberdeen;57.1667;-2.1;12.0;;
ABEA;Nea Chora Chania;35.5163;24.0114;9.0;0;Open
ABEH;Behbahan;30.6;50.2531;346.0;;
ABEM;Aberfeldy;-37.71936;146.389;548.8;;
ABEMX;Ramos, ABE;32.4183;-116.614;487.0;;
ABEND;AfricaArray - ZP, BEND;0.581;31.392;1351.0;;
ABERE;Bergile;12.1707;41.1886;574.0;;
ABF;Auke Bay;58.3813;-134.643;3.0;;Open
ABG1;Leinawald;50.9653;12.5721;203.0;;Open
ABGF;Abri du Galion;16.03233;-61.66033;1150.0;;
ABH;Alteburg;49.8817;7.5475;620.0;2;Open
ABH2;Ecuador-Universidad Catolica Bahia de Caraquez;-0.6594;-80.3974;37.0;0;Open
ABHA;Abha;18.25;42.75;2200.0;;Open
ABI;ADIBADRI;30.152;79.2084;1595.0;;Open
ABJ;Abashiri;44.015;144.283;38.0;;
ABJF;Abjat-sur-Bandiat;45.5738;0.761;269.0;;Open
ABJI;Asem Bagus;-7.7957;114.2342;0.0;;Open
ABJM;Bob Jauregui Ranch;39.1653;-121.191;457.0;;Open
ABK;Abisko;68.3417;18.8167;385.0;;
ABKAR;Akbulak array;49.2556;59.9431;243.0;;Open
ABKT;Ailbek;37.9304;58.1189;678.0;;
ABL;Mount Abel;34.8508;-119.221;1981.0;;Open
ABLV;Afar, BLV;11.5732;42.4947;283.0;;
ABM;Ambohimiarambe;-19.781;47.365;1843.0;;Open
ABMC;Merrill Creek;40.686;-75.054;170.0;;
ABMS;Boumerdes;36.75;3.48;97.0;;Open
ABN;Auburn;40.3911;-95.8506;294.0;;Open
ABNR;Abakan;53.725;91.435;125.0;;Open
ABOA;Aboa;-73.05;-13.41667;200.0;0;Open
ABOY;Afar, BOY;11.5888;42.5432;0.0;;
ABPO;Ambohimpanom;-19.01739;47.22747;1528.0;;
ABPP;Abucay Bataan Peninsula;14.741;120.451;300.0;;Open
ABQ;Albuquerque;34.9425;-106.457;1849.0;ALQ;Open
ABR;El Abra;19.807;-96.5345;520.0;;
ABR01;Abrolhos, BA;-17.9646;-38.6959;38.0;;Open
ABRA;Dolores;17.649;120.712;50.0;;
ABRE;Abriola;40.50081;15.76011;1542.0;;
ABRM;Brophy Road;39.1352;-121.487;24.0;;Open
ABRN;Auburn;42.9963;-76.4853;224.0;;
ABS;Abastumani;41.75547;42.81339;1590.0;;Open
ABSA;Djebel Ababsia;36.27333;7.47778;1025.0;;
ABSE;Abaselama;14.88467;39.32717;2392.0;;
ABSI;Aberstueckl;46.7285;11.3205;1801.0;;Open
ABTA;Abfaltersbach;46.7474;12.5123;1041.0;;Open
ABTN;Auburntown;35.8855;-86.109;363.0;;Open
ABTO;Aybut;17.3538;53.2966;650.0;;Open
ABTX;Abilene, Hawley;32.6238;-99.6431;502.0;;Open
ABU;Abuyama;34.8603;135.574;200.0;;Open
ABUS;Abu Simbel;22.25;31.13722;230.0;;
ABV;Anegada;18.7298;-64.332;35.0;;Open
ABVI;Anegada Island;18.72967;-64.33253;8.0;;
AB-WV;Amboy;39.33056;-79.56694;914.0;;
ABZA;Acelerografo, Napo - Baeza, Granja Experimental;-0.459;-77.8861;1876.0;1;Open
AC01;Pan de Azucar;-26.1479;-70.5987;346.0;;Open
AC02;Maricunga;-26.8355;-69.1291;3980.0;;Open
AC04;Llanos de Challe;-28.2046;-71.0739;249.0;;Open
AC05;El Transito;-28.8364;-70.2738;1287.0;;Open
AC06;Mina Casimiro Domeyco;-27.3573;-70.3544;425.0;;Open
AC07;Ecuador-Guayaquil-Cerro 507;-2.1516;-79.9836;445.0;0;Open
ACAJ;Puerto de Acajutla;13.5749;-89.8336;12.0;;
ACAL;Aguas Claras;10.634;-85.035;767.0;;
ACAN;Cantantal;-32.2742;-67.1885;634.0;;
ACAP;Capistrello;41.9653;13.3794;658.0;1;Open
ACBG;Cabo de Gata;36.76867;-2.19383;64.0;;
ACCN;Adirondack Community College;43.38431;-73.66781;340.0;;
ACCO;Cerro Coronel;-30.5877;-69.0653;2792.0;;
ACDF;Aurillac;44.93;2.44;640.0;;Open
ACDV;Cuesta del Viento;-30.1708;-69.1197;1572.0;;
ACEO;Ashtabula EMA;41.749;-80.768;293.0;;
ACER;Acerenza;40.7867;15.9427;690.0;;Open
ACES;Army Corps of Engineers Seattle ANSS;47.5595;-122.3411;55.0;;Open
ACH;Altos;8.6635;-79.92917;900.0;;
ACH1;Ecuador-Universidad Tecnica de Machala;-3.2874;-79.9103;13.0;0;Open
ACH2;Ecuador-Machala-Colibri El Vergel;-3.2637;-79.8101;103.0;0;Open
