ALGO|HHZ|45.95443|-78.05093|0.235|20020911.23|20180329.164|Algonquin Park|ON|POLARIS
ALRB|HHE|52.51029|-125.08443|1.237|20060830.0137|20090827.22|Anaheim Lake|BC|POLARIS
ALRB|HHN|52.51029|-125.08443|1.237|20060830.0137|20090827.22|Anaheim Lake|BC|POLARIS
ALRB|HHZ|52.51029|-125.08443|1.237|20060830.0137|20090827.22|Anaheim Lake|BC|POLARIS
ANMB|HHE|49.31868|-122.85853|0.179|20021118.1935|20040819.1731|Anmore|BC|POLARIS
ANMB|HHN|49.31868|-122.85853|0.179|20021118.1935|20040819.1731|Anmore|BC|POLARIS
ANMB|HHZ|49.31868|-122.85853|0.179|20021118.1935|20040819.1731|Anmore|BC|POLARIS
AP3N|BHE|69.45864|-84.46158|0.437|20050817.2206|20120708.2359|Apex Site 3|NU|POLARIS
AP3N|BHN|69.45864|-84.46158|0.437|20050817.2206|20120708.2359|Apex Site 3|NU|POLARIS
AP3N|BHZ|69.45864|-84.46158|0.437|20050817.2206|20120708.2359|Apex Site 3|NU|POLARIS
ARVN|BHE|61.09764|-94.07014|-0.023|20060812.2257|20120715.2359|Arviat|NU|POLARIS
ARVN|BHN|61.09764|-94.07014|-0.023|20060812.2257|20120715.2359|Arviat|NU|POLARIS
ARVN|BHZ|61.09764|-94.07014|-0.023|20060812.2257|20120715.2359|Arviat|NU|POLARIS
ATHA|BHE|54.7137|-113.3137|0.551|20121019.2214|20141103.22|Athabasca|AB|POLARIS
ATHA|BHN|54.7137|-113.3137|0.551|20121019.2214|20141103.22|Athabasca|AB|POLARIS
ATHA|BHZ|54.7137|-113.3137|0.551|20121019.2214|20141103.22|Athabasca|AB|POLARIS
ATKO|HHE|48.8231|-91.60045|0.3827|20040609.2153||Atikokan Iron Mine|ON|CNSN
ATKO|HHN|48.8231|-91.60045|0.3827|20040609.2153||Atikokan Iron Mine|ON|CNSN
ATKO|HHZ|48.8231|-91.60045|0.3827|20040609.2153||Atikokan Iron Mine|ON|CNSN
ATLB|BHE|50.21837|-127.05998|0.266|20050421.21|20050517.18|Atluck Lake|BC|ETS
ATLB|BHN|50.21837|-127.05998|0.266|20050421.21|20050517.18|Atluck Lake|BC|ETS
ATLB|BHZ|50.21837|-127.05998|0.266|20050421.21|20050517.18|Atluck Lake|BC|ETS
ATLB|HHE|50.21837|-127.05998|0.266|20060315.02|20060912.2359|Atluck Lake|BC|ETS
ATLB|HHN|50.21837|-127.05998|0.266|20060315.02|20060912.2359|Atluck Lake|BC|ETS
ATLB|HHZ|50.21837|-127.05998|0.266|20060315.02|20060912.2359|Atluck Lake|BC|ETS
B1NU|BHE|68.4619|-71.588|0.181|20000723.2328|20020815.2359|Baffin1|NU|CHASME
B1NU|BHN|68.4619|-71.588|0.181|20000723.2328|20020815.2359|Baffin1|NU|CHASME
B1NU|BHZ|68.4619|-71.588|0.181|20000723.2328|20020815.2359|Baffin1|NU|CHASME
B2NU|BHE|68.9216|-73.1966|0.157|20000724.1502|20001222.2359|Baffin2|NU|CHASME
B2NU|BHN|68.9216|-73.1966|0.157|20000724.1502|20001222.2359|Baffin2|NU|CHASME
B2NU|BHZ|68.9216|-73.1966|0.157|20000724.1502|20001222.2359|Baffin2|NU|CHASME
BAIB|HHE|52.5757|-131.75343|0.804|20170810.02||Barry Inlet|BC|CNSN
BAIB|HHN|52.5757|-131.75343|0.804|20170810.02||Barry Inlet|BC|CNSN
BAIB|HHZ|52.5757|-131.75343|0.804|20170810.02||Barry Inlet|BC|CNSN
BAIB|HNE|52.5757|-131.75343|0.804|20170810.02||Barry Inlet|BC|CNSN
BAIB|HNN|52.5757|-131.75343|0.804|20170810.02||Barry Inlet|BC|CNSN
BAIB|HNZ|52.5757|-131.75343|0.804|20170810.02||Barry Inlet|BC|CNSN
BANO|HHE|45.01982|-77.92802|0.36|20020825.173|20170927|Bancroft|ON|SOSN
BANO|HHN|45.01982|-77.92802|0.36|20020825.173|20170927|Bancroft|ON|SOSN
BANO|HHZ|45.01982|-77.92802|0.36|20020825.173|20170927|Bancroft|ON|SOSN
BASO|HH1|44.01331|-81.66482|0.21|20070801.2101|20090420.14|Ashfield|ON|SOSN
BASO|HH2|44.01331|-81.66482|0.21|20070801.2101|20090420.14|Ashfield|ON|SOSN
BASO|HH3|44.01331|-81.66482|0.21|20070801.2101|20090420.14|Ashfield|ON|SOSN
BASO|HHE|44.01331|-81.66482|0.21|20070801.2101||Ashfield|ON|SOSN
BASO|HHN|44.01331|-81.66482|0.21|20070801.2101||Ashfield|ON|SOSN
BASO|HHZ|44.01331|-81.66482|0.21|20070801.2101||Ashfield|ON|SOSN
BBB|BHE|52.1847|-128.1133|0.014|19931029.14||Bella Bella|BC|CNSN
BBB|BHN|52.1847|-128.1133|0.014|19931029.14||Bella Bella|BC|CNSN
BBB|BHZ|52.1847|-128.1133|0.014|19931029.14|20061114.2304|Bella Bella|BC|CNSN
BBB|BHZ|52.1847|-128.1133|0.014|20061114.2305|20061219.16|Bella Bella|BC|CNSN
BBB|BHZ|52.1847|-128.1133|0.014|20061219.1601|20080630.2154|Bella Bella|BC|CNSN
BBB|BHZ|52.1847|-128.1133|0.014|20080630.2155|20080930.191|Bella Bella|BC|CNSN
BBB|BHZ|52.1847|-128.1133|0.014|20080930.1911|20120110.2132|Bella Bella|BC|CNSN
BBB|BHZ|52.1847|-128.1133|0.014|20120110.2133|20120302.1945|Bella Bella|BC|CNSN
BBB|BHZ|52.1847|-128.1133|0.014|20120302.1946||Bella Bella|BC|CNSN
BCBC|HHE|52.372|-126.755|0|20071206.17|20140604.19|Bella Coola|BC|CNSN
BCBC|HHN|52.372|-126.755|0|20071206.17|20140604.19|Bella Coola|BC|CNSN
BCBC|HHZ|52.372|-126.755|0|20071206.17|20140604.19|Bella Coola|BC|CNSN
BCLQ|HHE|46.926316|-71.172766|0.1676|20071102.1102|20090407.2|Boischatel|QC|CNSN
BCLQ|HHE|46.926316|-71.172766|0.1676|20091106.13||Boischatel|QC|CNSN
BCLQ|HHN|46.926316|-71.172766|0.1676|20071102.1102|20090407.2|Boischatel|QC|CNSN
BCLQ|HHN|46.926316|-71.172766|0.1676|20091106.13||Boischatel|QC|CNSN
BCLQ|HHZ|46.926316|-71.172766|0.1676|20071102.1102|20090407.2|Boischatel|QC|CNSN
BCLQ|HHZ|46.926316|-71.172766|0.1676|20091106.13||Boischatel|QC|CNSN
BCLQ|HNE|46.926316|-71.172766|0.1676|20170630.2||Boischatel|QC|CNSN
BCLQ|HNN|46.926316|-71.172766|0.1676|20170630.2||Boischatel|QC|CNSN
BCLQ|HNZ|46.926316|-71.172766|0.1676|20170630.2||Boischatel|QC|CNSN
BELQ|HHE|47.39801|-78.68739|0.355|20070822.01||Belleterre|QC|POLARIS
BELQ|HHN|47.39801|-78.68739|0.355|20070822.01||Belleterre|QC|POLARIS
BELQ|HHZ|47.39801|-78.68739|0.355|20070822.01||Belleterre|QC|POLARIS
BFSB|HHE|48.83363|-125.13609|0.023|20131115||Bamfield|BC|CNSN
BFSB|HHN|48.83363|-125.13609|0.023|20131115||Bamfield|BC|CNSN
BFSB|HHZ|48.83363|-125.13609|0.023|20131115||Bamfield|BC|CNSN
BFSB|HNE|48.83363|-125.13609|0.023|20170420.103||Bamfield|BC|CNSN
BFSB|HNN|48.83363|-125.13609|0.023|20170420.103||Bamfield|BC|CNSN
BFSB|HNZ|48.83363|-125.13609|0.023|20170420.103||Bamfield|BC|CNSN
BIB|EHZ|49.406|-123.306|0.037|19960904.2101||Bowen Island|BC|CNSN
BJBQ|HHE|50.28745|-62.80943|0.006|20170923.19||Baie Johan Beetz|QC|CNSN
BJBQ|HHN|50.28745|-62.80943|0.006|20170923.19||Baie Johan Beetz|QC|CNSN
BJBQ|HHZ|50.28745|-62.80943|0.006|20170923.19||Baie Johan Beetz|QC|CNSN
BJBQ|HNE|50.28745|-62.80943|0.006|20170923.19||Baie Johan Beetz|QC|CNSN
BJBQ|HNN|50.28745|-62.80943|0.006|20170923.19||Baie Johan Beetz|QC|CNSN
BJBQ|HNZ|50.28745|-62.80943|0.006|20170923.19||Baie Johan Beetz|QC|CNSN
BLBC|EHZ|52.04401|-119.24386|2.357|19970617||Blue River|BC|CNSN
BLKN|HHE|64.3185|-96.00244|0.04|20170813.1428||Baker Lake|NU|CNSN
BLKN|HHN|64.3185|-96.00244|0.04|20170813.1428||Baker Lake|NU|CNSN
BLKN|HHZ|64.3185|-96.00244|0.04|20170813.1428||Baker Lake|NU|CNSN
BMBC|BHE|56.04493|-122.13358|1.092|19980130|20170905.23|Bull Mountain|BC|CNSN
BMBC|BHN|56.04493|-122.13358|1.092|19980130|20170905.23|Bull Mountain|BC|CNSN
BMBC|BHZ|56.04493|-122.13358|1.092|19980130|20170905.23|Bull Mountain|BC|CNSN
BMRO|HH1|44.59519|-81.21742|0.217|20070802.1935|20090420.182|Maryville Lake|ON|SOSN
BMRO|HH2|44.59519|-81.21742|0.217|20070802.1935|20090420.182|Maryville Lake|ON|SOSN
BMRO|HH3|44.59519|-81.21742|0.217|20070802.1935|20090420.182|Maryville Lake|ON|SOSN
BMRO|HHE|44.59519|-81.21742|0.217|20070802.1935||Maryville Lake|ON|SOSN
BMRO|HHN|44.59519|-81.21742|0.217|20070802.1935||Maryville Lake|ON|SOSN
BMRO|HHZ|44.59519|-81.21742|0.217|20070802.1935||Maryville Lake|ON|SOSN
BMSB|BHE|48.8356|-125.1355|0.01|20030307|20111124.0042|Bamfield Marine Station|BC|CNSN
BMSB|BHN|48.8356|-125.1355|0.01|20030307|20111124.0042|Bamfield Marine Station|BC|CNSN
BMSB|BHZ|48.8356|-125.1355|0.01|20030307|20111124.0042|Bamfield Marine Station|BC|CNSN
BMTB|HHE|56.045094|-122.133175|1.099|20170918.1802||Bullhead Mountain|BC|CNSN
BMTB|HHN|56.045094|-122.133175|1.099|20170918.1802||Bullhead Mountain|BC|CNSN
BMTB|HHZ|56.045094|-122.133175|1.099|20170918.1802||Bullhead Mountain|BC|CNSN
BNAB|EHZ|53.49318|-130.63684|-0.019|19990416.1834|20140324.2359|Bonilla|BC|CNSN
BNAB|HHE|53.49318|-130.63684|-0.019|20140325||Bonilla|BC|CNSN
BNAB|HHN|53.49318|-130.63684|-0.019|20140325||Bonilla|BC|CNSN
BNAB|HHZ|53.49318|-130.63684|-0.019|20140325||Bonilla|BC|CNSN
BNB|EHZ|52.5758|-131.7522|0.756|19960226.1955||Barry Inlet|BC|CNSN
BOXN|BHE|63.85215|-109.71694|0.436|20020802.232|20070719.1458|Box Lake|NT|POLARIS
BOXN|BHN|63.85215|-109.71694|0.436|20020802.232|20070719.1458|Box Lake|NT|POLARIS
BOXN|BHZ|63.85215|-109.71694|0.436|20020802.232|20070719.1458|Box Lake|NT|POLARIS
BPBC|EHZ|50.15714|-127.772117|0.729|19950209|20180614|Brooks Peninsula|BC|CNSN
BPCB|HHE|48.92358|-123.70447|0.031|20080319.2145||Bare Point|BC|ETS
BPCB|HHN|48.92358|-123.70447|0.031|20080319.2145||Bare Point|BC|ETS
BPCB|HHZ|48.92358|-123.70447|0.031|20080319.2145||Bare Point|BC|ETS
BRCO|HHE|44.24372|-81.44225|0.273|20020206||Bruce Penn.|ON|SOSN
BRCO|HHN|44.24372|-81.44225|0.273|20020206||Bruce Penn.|ON|SOSN
BRCO|HHZ|44.24372|-81.44225|0.273|20020206||Bruce Penn.|ON|SOSN
BRPO|HHE|45.65059|-77.5061|0.17|20020910|20021014.2359|Bonnechere River Park|ON|POLARIS
BRPO|HHN|45.65059|-77.5061|0.17|20020910|20021014.2359|Bonnechere River Park|ON|POLARIS
BRPO|HHZ|45.65059|-77.5061|0.17|20020910|20021014.2359|Bonnechere River Park|ON|POLARIS
BSPQ|HNE|47.44188|-70.5056|0.009|20180601.19||Baie-St-Paul|QC|CNSN
BSPQ|HNN|47.44188|-70.5056|0.009|20180601.19||Baie-St-Paul|QC|CNSN
BSPQ|HNZ|47.44188|-70.5056|0.009|20180601.19||Baie-St-Paul|QC|CNSN
BTB|EHZ|49.468616|-125.52264|1.607|19961026.2021|20070919.173|Buttle Lake|BC|CNSN
BTB|HHE|49.468616|-125.52264|1.607|20070919.192||Buttle Lake|BC|CNSN
BTB|HHN|49.468616|-125.52264|1.607|20070919.192||Buttle Lake|BC|CNSN
BTB|HHZ|49.468616|-125.52264|1.607|20070919.192||Buttle Lake|BC|CNSN
BUKO|HHE|45.44228|-79.39895|0.317|20031102.18||Buck Lake|ON|SOSN
BUKO|HHN|45.44228|-79.39895|0.317|20031102.18||Buck Lake|ON|SOSN
BUKO|HHZ|45.44228|-79.39895|0.317|20031102.18||Buck Lake|ON|SOSN
BULN|BHE|66.39713|-93.12524|0.33|20060817.0158|20120715.2359|Bullion Camp Hudson Bay|NU|POLARIS
BULN|BHN|66.39713|-93.12524|0.33|20060817.0158|20120715.2359|Bullion Camp Hudson Bay|NU|POLARIS
BULN|BHZ|66.39713|-93.12524|0.33|20060817.0158|20120715.2359|Bullion Camp Hudson Bay|NU|POLARIS
BRWY|HHE|61.37044|-139.0338|0.8025|20180712.213||Burwash Landing|YT|CNSN
BRWY|HHN|61.37044|-139.0338|0.8025|20180712.213||Burwash Landing|YT|CNSN
BRWY|HHZ|61.37044|-139.0338|0.8025|20180712.213||Burwash Landing|YT|CNSN
BRWY|HNE|61.37044|-139.0338|0.8025|20180712.213||Burwash Landing|YT|CNSN
BRWY|HNN|61.37044|-139.0338|0.8025|20180712.213||Burwash Landing|YT|CNSN
BRWY|HNZ|61.37044|-139.0338|0.8025|20180712.213||Burwash Landing|YT|CNSN
BVCY|HHE|62.41415|-140.86063|0.708|20100814.173||Beaver Creek|YT|CNSN
BVCY|HHN|62.41415|-140.86063|0.708|20100814.173||Beaver Creek|YT|CNSN
BVCY|HHZ|62.41415|-140.86063|0.708|20100814.173||Beaver Creek|YT|CNSN
BVCY|HNE|62.41415|-140.86063|0.708|20180714.023||Beaver Creek|YT|CNSN
BVCY|HNN|62.41415|-140.86063|0.708|20180714.023||Beaver Creek|YT|CNSN
