18|3|0|SIA|Southern iota Aquariids                 | annual |0|131.7|334.7|-14.2|1.07|0.18|33.8|2.364|0.208|       |131.8|311.7|6.9|     |298|3|                                        |Member of 298/IAQ Complex                                                                                                                             |    |1) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A> 
19|3|1|SIA|Southern iota Aquariids                 | annual |0|131.7|339|-15.6|       |       |34.8|2.676|0.19|       |137.5|306.9|8.6|     |298|3|                                        |Member of 298/IAQ Complex                                                                                                                             |P   |2) Dutch Meteor Society 2001
20|3|2|SIA|Southern iota Aquariids                 |2002/06 |0|129.5|332.9|-14.7|0.36|-0.14|30.5|1.546|0.218|0.8587|134.3|309.1|5.3|353|298|3|                                        |Member of 298/IAQ Complex. Removed from the List of Established Showers (2015) Jenniskens et al. Trans. IAU, vol 10, issue T28 pp 120-123             |R   |3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
21|3|3|SIA|Southern iota Aquariids                 | annual |-2|135.6|337.5|-13.3|       |       |28.9|1.54|0.26|0.83|129.9|315.6|5.3|102|0|0|                                        |                                                                                                                                                      |C   |4) Jenniskens et al., 2018 sub. to PSS
22|4|0|GEM|Geminids                                | annual |1|262.1|113.2|32.5|1.02|-0.15|34.58|1.372|0.141|       |324.42|261.49|24.02|221|0|0|3200 Phaethon (=1983 TB)                |                                                                                                                                                      |P   |1) Dutch Meteor Society 2001
23|4|1|GEM|Geminids                                | annual |1|261.6|112.9|32.3|       |       |34.6|       |0.141|0.898|324.2|261.6|23.5|51|0|0|3200 Phaethon (=1983 TB)                |                                                                                                                                                      |P   |2) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>
24|4|2|GEM|Geminids                                |2002/06 |1|261.5|112.8|32.1|1.1|-0.17|35|1.416|0.136|0.904|324.6|261.3|24|4384|0|0|3200 Phaethon (=1983 TB)                |                                                                                                                                                      |R   |3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
25|4|3|GEM|Geminids                                |2007/08 |1|261.4|112.8|32.3|0.9|-0.19|33.5|       |       |       |       |       |       |2510|0|0|3200 Phaethon (=1983 TB)                |                                                                                                                                                      |T   |4) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A> 
26|4|4|GEM|Geminids                                |2002/08 |1|261|112.5|32.1|1.12|-0.17|34.5|1.35|0.1373|0.898|324.95|261|23.2|9999|0|0|3200 Phaethon (=1983 TB)                |                                                                                                                                                      |R   |5) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
27|4|5|GEM|Geminids                                | annual |1|262|113.5|32.3|1.15|-0.16|33.8|1.31|0.145|0.889|324.3|261.7|22.9|4895|0|0|(3200) Phaethon                         |                                                                                                                                                      |T   |6) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
