# Shower lookup table measured using GMN data up to May 18, 2023
# Using the wmpl.Utils.ShowerTableMeasurement script in WMPL
# 
# The table is sampled at 0.2 deg solar longitude. The SCE (Sun-centered 
# ecliptic) longitude is the ecliptic longitude minus the solar 
# longitude. The "Disp" column is the measured dispersion which changes 
# over time. A meteor is considered a shower member if it has been observed 
# within 1 deg of solar longitude of a table entry, within 10% of Vg, and
# within the listed dispersion.
#
# IAU showers not present in the table:
# XRI, BIN, OSE, NDD, LOP, FSO, DRG, MXA, HNJ, FCL, LAP, NMV, AAC, VOL, ZPH, 
# ILU, EGR, TPG, JDP, ODS, CRN, OEV, TSC, MBA, BEC, AST, ZPA, EVO, NMD, JMD, 
# OAB, SEC, FVI, AGE, ATH, OVI, PPE, FBO, OMH, 
# 
# Sol  SCE lon  SCE lat       Vg  Disp  IAU IAU
# deg      deg      deg     km/s  deg    No  cd
# 
  1.8  295.776   60.562   43.694  5.34   40 ZCY
  1.8  283.483  -76.821   36.653  3.10  130 DME
  1.8  271.117   71.007   35.109  4.38  346 XHE
  1.8  211.167    5.926   40.374  3.12  448 AAL
  1.8  262.826   33.571   61.447  4.32  599 POS
  1.8  176.595   25.775   27.367  2.57  647 BCO
  1.8  265.683   23.643   66.165  4.05  648 TAL
  1.8  205.480   -4.706   38.710  3.56  750 SMV
  1.8  324.924   19.892   49.057  2.59  792 MBE
  1.8  240.386   12.872   63.257  3.44  862 SSR
  1.8  261.754    6.593   70.827  2.11  893 EOP
  2.0  184.777    5.552   25.931  3.15   11 EVI
  2.0  295.784   60.540   43.689  5.34   40 ZCY
  2.0  283.445  -76.821   36.668  3.07  130 DME
  2.0  271.554   71.013   35.120  4.38  346 XHE
  2.0  211.158    5.907   40.385  3.14  448 AAL
  2.0  262.839   33.565   61.445  4.29  599 POS
  2.0  176.561   25.855   27.356  2.59  647 BCO
  2.0  265.680   23.651   66.158  4.05  648 TAL
  2.0  205.454   -4.701   38.698  3.57  750 SMV
  2.0  324.846   19.907   49.058  2.64  792 MBE
  2.0  240.380   12.864   63.260  3.45  862 SSR
  2.0  261.706    6.593   70.828  2.04  893 EOP
  2.2  184.692    5.567   25.882  3.14   11 EVI
  2.2  295.792   60.519   43.683  5.34   40 ZCY
  2.2  283.408  -76.821   36.682  3.03  130 DME
  2.2  211.148    5.888   40.396  3.16  448 AAL
  2.2  262.851   33.559   61.444  4.25  599 POS
  2.2  176.527   25.935   27.345  2.61  647 BCO
  2.2  265.677   23.659   66.150  4.05  648 TAL
  2.2  205.428   -4.696   38.686  3.57  750 SMV
  2.2  324.768   19.922   49.059  2.68  792 MBE
  2.2  240.374   12.857   63.262  3.45  862 SSR
  2.2  261.657    6.593   70.829  1.97  893 EOP
