Date: 2017030506
Time: 22:50:11.919
Station_Code: KOP
Long: 016.841214 E
Lati: 046.163564 N
Height: 0146 m
2457818.4515583217 181.367 +11.066 +6.8
2457818.4515585531 181.446 +11.091 +8.2
2457818.4515587846 181.514 +11.055 +6.3
2457818.4515590160 181.626 +11.054 +6.5
2457818.4515592479 181.696 +10.991 +7.8
2457818.4515594793 181.857 +10.893 +6.7
2457818.4515597108 181.933 +10.821 +6.9
2457818.4515599422 182.034 +10.802 +8.4
2457818.4515606365 182.248 +10.711 +7.4
2457818.4515608680 182.398 +10.594 +6.3
2457818.4515610994 182.480 +10.558 +6.5
2457818.4515613308 182.555 +10.521 +7.2
2457818.4515615627 182.622 +10.476 +5.6
2457818.4515617942 182.744 +10.412 +7.4
2457818.4515620256 182.849 +10.420 +7.7
2457818.4515622570 182.894 +10.419 +6.8
2457818.4515624885 183.017 +10.319 +7.4
2457818.4515627199 183.083 +10.273 +6.8
2457818.4515629513 183.172 +10.271 +7.3
2457818.4515631828 183.282 +10.179 +7.3
2457818.4515634142 183.357 +10.142 +7.6
2457818.4515636456 183.504 +10.130 +7.1
